Item,Quantity,UnitPrice
Apple,5,0.5
Apple,5,0.5
Eggs,12,0.15
Rice,3,1.0
Banana,8,0.25
Bread,1,2.0
Banana,8,0.25
Banana,8,0.25
Milk,2,1.5
Bread,1,2.0
Chicken,2,5.0
Chicken,2,5.0
Water,24,0.2
Chicken,2,5.0
Chicken,2,5.0
Banana,8,0.25
Banana,8,0.25
Potato,10,0.3
Eggs,12,0.15
Milk,2,1.5
Potato,10,0.3
Bread,1,2.0
Eggs,12,0.15
Bread,1,2.0
Banana,8,0.25
Chicken,2,5.0
Milk,2,1.5
Chicken,2,5.0
Eggs,12,0.15
Eggs,12,0.15
Banana,8,0.25
Potato,10,0.3
Bread,1,2.0
Potato,10,0.3
Potato,10,0.3
Bread,1,2.0
Milk,2,1.5
Water,24,0.2
Potato,10,0.3
Bread,1,2.0
Apple,5,0.5
Milk,2,1.5
Rice,3,1.0
Potato,10,0.3
Banana,8,0.25
Potato,10,0.3
Potato,10,0.3
Rice,3,1.0
Apple,5,0.5
Apple,5,0.5
Banana,8,0.25
Apple,5,0.5
Milk,2,1.5
Water,24,0.2
Banana,8,0.25
Tomato,6,0.4
Potato,10,0.3
Eggs,12,0.15
Rice,3,1.0
Eggs,12,0.15
Milk,2,1.5
Tomato,6,0.4
Potato,10,0.3
Rice,3,1.0
Milk,2,1.5
Tomato,6,0.4
Water,24,0.2
Milk,2,1.5
Potato,10,0.3
Milk,2,1.5
Potato,10,0.3
Apple,5,0.5
Apple,5,0.5
Water,24,0.2
Chicken,2,5.0
Tomato,6,0.4
Eggs,12,0.15
Milk,2,1.5
Banana,8,0.25
Apple,5,0.5
Banana,8,0.25
Milk,2,1.5
Tomato,6,0.4
Potato,10,0.3
Rice,3,1.0
Potato,10,0.3
Tomato,6,0.4
Eggs,12,0.15
Eggs,12,0.15
Potato,10,0.3
Rice,3,1.0
Milk,2,1.5
Rice,3,1.0
Bread,1,2.0
Rice,3,1.0
Bread,1,2.0
Milk,2,1.5
Chicken,2,5.0
Chicken,2,5.0
Chicken,2,5.0
